,ID,instrument,like
0,44,NO,NO
1,28,YES,YES
2,21,NO,YES
3,42,NO,YES
4,19,NO,YES
5,33,NO,YES
6,14,NO,YES
7,3,YES,YES
8,26,NO,YES
9,34,YES,NO
10,9,NO,NO
11,17,YES,YES
12,24,NO,YES
13,11,NO,YES
14,35,NO,YES
15,25,NO,YES
16,18,NO,NO
17,1,NO,NO
18,13,YES,YES
19,36,NO,YES
20,10,YES,YES
21,27,NO,YES
22,4,NO,NO
23,8,NO,YES
24,41,NO,YES
25,23,YES,YES
26,37,NO,YES
27,31,YES,YES
28,22,NO,YES
29,40,YES,YES
30,43,YES,YES
31,7,YES,NO
32,15,YES,YES
33,2,NO,NO
34,16,NO,YES
35,38,NO,YES
36,6,YES,NO
37,29,NO,YES
38,12,NO,YES
39,39,YES,YES
40,30,YES,YES
41,5,NO,NO
42,32,YES,YES
43,20,NO,YES
44,45,YES,YES
